instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,iterations,time,time_limit,seed,feasible,mode,status,error,wall_time
B-n68-k9,B,cvrplib/B/B-n68-k9.vrp,68,1272.0,9,1296.0,1.8867924528301887,9,36,1.0419421169999623,1.0,0,True,clarke_wright_alns_vns,ok,,1.1057014049993086
B-n78-k10,B,cvrplib/B/B-n78-k10.vrp,78,1221.0,10,1251.0,2.457002457002457,10,39,1.0007289750001291,1.0,0,True,clarke_wright_alns_vns,ok,,1.1630371890005335
CMT1,CMT,cvrplib/CMT/CMT1.vrp,51,524.611,5,527.9777035856569,0.6417523814134405,5,196,1.0024514970000382,1.0,0,True,clarke_wright_alns_vns,ok,,1.0692567090000011
CMT11,CMT,cvrplib/CMT/CMT11.vrp,121,1042.12,7,1051.5258109728836,0.9025650570839949,7,16,1.0864838930001497,1.0,0,True,clarke_wright_alns_vns,ok,,1.149856591000571
CMT10,CMT,cvrplib/CMT/CMT10.vrp,200,1395.85,18,1379.5100632157316,-1.1706083593701526,17,2,1.574366517999806,1.0,0,True,clarke_wright_alns_vns,ok,,1.7185877700003402
CMT12,CMT,cvrplib/CMT/CMT12.vrp,101,819.558,10,821.9988601083345,0.29782640256510273,10,13,1.096892790000311,1.0,0,True,clarke_wright_alns_vns,ok,,1.1705586059997586
CMT13,CMT,cvrplib/CMT/CMT13.vrp,121,1541.14,11,1051.5258109728834,-31.7696113933268,7,13,1.0571905870001501,1.0,0,True,clarke_wright_alns_vns,ok,,1.1265970860004018
CMT14,CMT,cvrplib/CMT/CMT14.vrp,101,866.365,11,821.9988601083345,-5.12095247287985,10,13,1.0326989059994958,1.0,0,True,clarke_wright_alns_vns,ok,,1.1092586189997746
CMT2,CMT,cvrplib/CMT/CMT2.vrp,76,835.262,10,862.6102844149717,3.27421628362978,10,49,1.0274280370003908,1.0,0,True,clarke_wright_alns_vns,ok,,1.1009732390002682
CMT3,CMT,cvrplib/CMT/CMT3.vrp,101,826.137,8,862.5041917296159,4.402077588779575,8,15,1.0487910600004398,1.0,0,True,clarke_wright_alns_vns,ok,,1.18396569000015
CMT4,CMT,cvrplib/CMT/CMT4.vrp,151,1028.42,12,1078.7825709796102,4.897082026760483,12,4,1.2194679040003393,1.0,0,True,clarke_wright_alns_vns,ok,,1.3542981390000932
CMT5,CMT,cvrplib/CMT/CMT5.vrp,200,1291.289144,16,1768.7772705592658,36.97763036093996,16,1,1.0519481660003294,1.0,0,True,clarke_wright_alns_vns,ok,,1.1146302630004357
