instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,route_gap,iterations,time,time_limit,seed,feasible,benchmark_feasible,mode,status,error,wall_time
XML100_3112_12,XML,cvrplib/XML/XML100_3112_12.vrp,101,,,31981.0,,17,,0,0.0061777700002494385,0.0,0,True,True,clarke_wright_construction_only,ok,,0.09413416899951699
XML100_3112_13,XML,cvrplib/XML/XML100_3112_13.vrp,101,,,27080.0,,15,,0,0.004543445000308566,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07713142200009315
XML100_3112_14,XML,cvrplib/XML/XML100_3112_14.vrp,101,,,32166.0,,17,,0,0.004586349999954109,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07946054500007449
XML100_3112_15,XML,cvrplib/XML/XML100_3112_15.vrp,101,,,26643.0,,15,,0,0.006336788999760756,0.0,0,True,True,clarke_wright_construction_only,ok,,0.0764969679994465
XML100_3112_16,XML,cvrplib/XML/XML100_3112_16.vrp,101,,,26771.0,,15,,0,0.006290485999670636,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07967161600026884
XML100_3112_17,XML,cvrplib/XML/XML100_3112_17.vrp,101,,,28758.0,,17,,0,0.004773930999363074,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07876690499961114
XML100_3112_18,XML,cvrplib/XML/XML100_3112_18.vrp,101,,,30741.0,,17,,0,0.004444205000254442,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07949750599982508
XML100_3112_19,XML,cvrplib/XML/XML100_3112_19.vrp,101,,,35501.0,,20,,0,0.006081108000216773,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07846085599976504
XML100_3112_20,XML,cvrplib/XML/XML100_3112_20.vrp,101,,,31780.0,,17,,0,0.0040982420005093445,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07314341300025262
XML100_3112_21,XML,cvrplib/XML/XML100_3112_21.vrp,101,,,30995.0,,17,,0,0.006061134999981732,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08361819600031595
XML100_3112_22,XML,cvrplib/XML/XML100_3112_22.vrp,101,,,36688.0,,20,,0,0.005368488000385696,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07560325600024953
