instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,iterations,time,time_limit,seed,feasible,mode,status,error,wall_time
P-n19-k2,P,cvrplib/P/P-n19-k2.vrp,19,212.0,2,212.0,0.0,2,2034,1.000091239000085,1.0,0,True,clarke_wright_alns_vns,ok,,1.0744757960001152
P-n20-k2,P,cvrplib/P/P-n20-k2.vrp,20,216.0,2,216.0,0.0,2,1867,1.0005394360000537,1.0,0,True,clarke_wright_alns_vns,ok,,1.0514530880000166
P-n21-k2,P,cvrplib/P/P-n21-k2.vrp,21,211.0,2,211.0,0.0,2,1514,1.000287245000436,1.0,0,True,clarke_wright_alns_vns,ok,,1.0556136000000151
P-n22-k2,P,cvrplib/P/P-n22-k2.vrp,22,216.0,2,216.0,0.0,2,1523,1.0016906410000956,1.0,0,True,clarke_wright_alns_vns,ok,,1.0605659580000975
P-n22-k8,P,cvrplib/P/P-n22-k8.vrp,22,603.0,8,590.0,-2.155887230514096,9,1026,1.0005295280002429,1.0,0,True,clarke_wright_alns_vns,ok,,1.122677529000157
P-n23-k8,P,cvrplib/P/P-n23-k8.vrp,23,529.0,8,529.0,0.0,8,1027,1.0002041719999397,1.0,0,True,clarke_wright_alns_vns,ok,,1.0537990819998413
P-n45-k5,P,cvrplib/P/P-n45-k5.vrp,45,510.0,5,510.0,0.0,5,219,1.0047406939997927,1.0,0,True,clarke_wright_alns_vns,ok,,1.06270214999995
P-n40-k5,P,cvrplib/P/P-n40-k5.vrp,40,458.0,5,458.0,0.0,5,231,1.003129354000066,1.0,0,True,clarke_wright_alns_vns,ok,,1.1042146810000304
P-n50-k10,P,cvrplib/P/P-n50-k10.vrp,50,696.0,10,700.0,0.5747126436781609,10,139,1.0091813799999727,1.0,0,True,clarke_wright_alns_vns,ok,,1.0710829489999014
P-n50-k7,P,cvrplib/P/P-n50-k7.vrp,50,554.0,7,558.0,0.7220216606498195,7,128,1.008188250999865,1.0,0,True,clarke_wright_alns_vns,ok,,1.12080062799987
P-n50-k8,P,cvrplib/P/P-n50-k8.vrp,50,631.0,8,636.0,0.7923930269413629,9,160,1.0028831540003011,1.0,0,True,clarke_wright_alns_vns,ok,,1.0576350709998223
P-n51-k10,P,cvrplib/P/P-n51-k10.vrp,51,741.0,10,746.0,0.6747638326585695,11,144,1.000960712000051,1.0,0,True,clarke_wright_alns_vns,ok,,1.0562939769997683
P-n55-k10,P,cvrplib/P/P-n55-k10.vrp,55,694.0,10,702.0,1.1527377521613833,10,107,1.011319622999963,1.0,0,True,clarke_wright_alns_vns,ok,,1.0793843370001923
P-n55-k15,P,cvrplib/P/P-n55-k15.vrp,55,989.0,15,945.0,-4.448938321536906,16,92,1.0038620400000582,1.0,0,True,clarke_wright_alns_vns,ok,,1.0601178509996316
P-n55-k7,P,cvrplib/P/P-n55-k7.vrp,55,568.0,7,577.0,1.584507042253521,7,80,1.0090364030002092,1.0,0,True,clarke_wright_alns_vns,ok,,1.0699698639996313
