instance,subset,dimension,runs,bks,bks_routes,route_gap,best_cost,best_gap_pct,mean_gap_pct,median_gap_pct,std_gap_pct,mean_cost,std_cost,mean_time,mean_iterations,best_source,reference_status
CMT4,CMT,151,1,1028.42,12,0,1078.7825709796102,4.897082026760483,4.897082026760483,4.897082026760483,0.0,1078.7825709796102,0.0,1.1218538590001117,4.0,full_experiment_seed0_final.csv,
CMT6,CMT,51,1,555.43,6,-1,524.6111466425075,-5.5486475987059505,-5.5486475987059505,-5.5486475987059505,0.0,524.6111466425075,0.0,1.0054372680006054,225.0,full_experiment_seed0_final.csv,
CMT7,CMT,76,1,909.675,11,-1,865.1727771364054,-4.892101339884521,-4.892101339884521,-4.892101339884521,0.0,865.1727771364054,0.0,1.0153102489994126,58.0,full_experiment_seed0_final.csv,
CMT8,CMT,101,1,865.945,9,-1,862.5041917296159,-0.3973472068531137,-0.3973472068531137,-0.3973472068531137,0.0,862.5041917296159,0.0,1.0125179699998625,18.0,full_experiment_seed0_final.csv,
CMT9,CMT,151,1,1162.55,14,-2,1078.7825709796102,-7.205490432272997,-7.205490432272997,-7.205490432272997,0.0,1078.7825709796102,0.0,1.1348978810001427,4.0,full_experiment_seed0_final.csv,
E-n101-k14,E,101,1,1067.0,14,0,1095.0,2.6241799437675724,2.6241799437675724,2.6241799437675724,0.0,1095.0,0.0,1.0643155400002797,22.0,full_experiment_seed0_final.csv,
E-n101-k8,E,101,1,815.0,8,0,840.0,3.067484662576687,3.067484662576687,3.067484662576687,0.0,840.0,0.0,1.006838725000307,19.0,full_experiment_seed0_final.csv,
E-n22-k4,E,22,1,375.0,4,0,375.0,0.0,0.0,0.0,0.0,375.0,0.0,1.0006693249997625,1385.0,full_experiment_seed0_final.csv,
E-n23-k3,E,23,1,569.0,3,0,569.0,0.0,0.0,0.0,0.0,569.0,0.0,1.0016978579997158,696.0,full_experiment_seed0_final.csv,
E-n33-k4,E,33,1,835.0,4,0,835.0,0.0,0.0,0.0,0.0,835.0,0.0,1.0018999949998033,428.0,full_experiment_seed0_final.csv,
E-n51-k5,E,51,1,521.0,5,0,527.0,1.1516314779270633,1.1516314779270633,1.1516314779270633,0.0,527.0,0.0,1.0047969890001696,229.0,full_experiment_seed0_final.csv,
E-n76-k7,E,76,1,682.0,7,0,693.0,1.6129032258064515,1.6129032258064515,1.6129032258064515,0.0,693.0,0.0,1.028688258999864,45.0,full_experiment_seed0_final.csv,
E-n76-k8,E,76,1,735.0,8,0,743.0,1.0884353741496597,1.0884353741496597,1.0884353741496597,0.0,743.0,0.0,1.0244568220005021,65.0,full_experiment_seed0_final.csv,
F-n72-k4,F,72,1,237.0,4,0,245.0,3.375527426160337,3.375527426160337,3.375527426160337,0.0,245.0,0.0,1.0448882130003767,62.0,full_experiment_seed0_final.csv,
Leuven2,AGS,4001,1,111395.0,46,0,992390.0,790.8748148480632,790.8748148480632,790.8748148480632,0.0,992390.0,0.0,0.0040501330004190095,0.0,full_experiment_seed0_final.csv,
M-n101-k10,M,101,1,820.0,10,0,821.0,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.0,821.0,0.0,1.0442983729999469,15.0,full_experiment_seed0_final.csv,
M-n121-k7,M,121,1,1034.0,7,0,1043.0,0.8704061895551257,0.8704061895551257,0.8704061895551257,0.0,1043.0,0.0,1.0067739129999609,15.0,full_experiment_seed0_final.csv,
M-n151-k12,M,151,1,1015.0,12,0,1092.0,7.586206896551724,7.586206896551724,7.586206896551724,0.0,1092.0,0.0,1.2211226689996693,4.0,full_experiment_seed0_final.csv,
M-n200-k17,M,200,1,1275.0,17,0,1357.0,6.431372549019608,6.431372549019608,6.431372549019608,0.0,1357.0,0.0,1.1831171169997106,2.0,full_experiment_seed0_final.csv,
P-n101-k4,P,101,1,681.0,4,0,701.0,2.936857562408223,2.936857562408223,2.936857562408223,0.0,701.0,0.0,1.0047819189994698,18.0,full_experiment_seed0_final.csv,
P-n16-k8,P,16,1,450.0,8,0,450.0,0.0,0.0,0.0,0.0,450.0,0.0,1.0003525530000843,2555.0,full_experiment_seed0_final.csv,
P-n19-k2,P,19,1,212.0,2,0,212.0,0.0,0.0,0.0,0.0,212.0,0.0,1.0001225079995493,2416.0,full_experiment_seed0_final.csv,
P-n20-k2,P,20,1,216.0,2,0,216.0,0.0,0.0,0.0,0.0,216.0,0.0,1.0001868740000646,2084.0,full_experiment_seed0_final.csv,
P-n21-k2,P,21,1,211.0,2,0,211.0,0.0,0.0,0.0,0.0,211.0,0.0,1.0002411499999653,1509.0,full_experiment_seed0_final.csv,
P-n22-k2,P,22,1,216.0,2,0,216.0,0.0,0.0,0.0,0.0,216.0,0.0,1.0001416100003553,1613.0,full_experiment_seed0_final.csv,
P-n23-k8,P,23,1,529.0,8,0,529.0,0.0,0.0,0.0,0.0,529.0,0.0,1.0001160679994427,1138.0,full_experiment_seed0_final.csv,
P-n40-k5,P,40,1,458.0,5,0,458.0,0.0,0.0,0.0,0.0,458.0,0.0,1.001306365000346,245.0,full_experiment_seed0_final.csv,
P-n45-k5,P,45,1,510.0,5,0,510.0,0.0,0.0,0.0,0.0,510.0,0.0,1.0015280239995263,217.0,full_experiment_seed0_final.csv,
P-n50-k10,P,50,1,696.0,10,0,700.0,0.5747126436781609,0.5747126436781609,0.5747126436781609,0.0,700.0,0.0,1.001244750999831,170.0,full_experiment_seed0_final.csv,
P-n50-k7,P,50,1,554.0,7,0,558.0,0.7220216606498195,0.7220216606498195,0.7220216606498195,0.0,558.0,0.0,1.0108069349998914,139.0,full_experiment_seed0_final.csv,
P-n55-k10,P,55,1,694.0,10,0,702.0,1.1527377521613833,1.1527377521613833,1.1527377521613833,0.0,702.0,0.0,1.0034080949999407,100.0,full_experiment_seed0_final.csv,
P-n55-k7,P,55,1,568.0,7,0,577.0,1.584507042253521,1.584507042253521,1.584507042253521,0.0,577.0,0.0,1.0024897129997044,94.0,full_experiment_seed0_final.csv,
P-n55-k8,P,55,1,588.0,8,-1,576.0,-2.0408163265306123,-2.0408163265306123,-2.0408163265306123,0.0,576.0,0.0,1.0016053570006989,136.0,full_experiment_seed0_final.csv,
P-n60-k10,P,60,1,744.0,10,0,744.0,0.0,0.0,0.0,0.0,744.0,0.0,1.0027390940003897,99.0,full_experiment_seed0_final.csv,
P-n60-k15,P,60,1,968.0,15,0,977.0,0.9297520661157025,0.9297520661157025,0.9297520661157025,0.0,977.0,0.0,1.0129278770000383,91.0,full_experiment_seed0_final.csv,
P-n65-k10,P,65,1,792.0,10,0,816.0,3.0303030303030303,3.0303030303030303,3.0303030303030303,0.0,816.0,0.0,1.025437219000196,69.0,full_experiment_seed0_final.csv,
P-n70-k10,P,70,1,827.0,10,0,844.0,2.0556227327690446,2.0556227327690446,2.0556227327690446,0.0,844.0,0.0,1.0138788360000035,69.0,full_experiment_seed0_final.csv,
P-n76-k4,P,76,1,593.0,4,0,620.0,4.5531197301854975,4.5531197301854975,4.5531197301854975,0.0,620.0,0.0,1.0017461830002503,72.0,full_experiment_seed0_final.csv,
