instance,subset,dimension,runs,bks,bks_routes,best_cost,best_gap_pct,mean_gap_pct,median_gap_pct,std_gap_pct,mean_cost,std_cost,mean_time,mean_iterations,best_source,reference_status
X-n1094-k157,XL,1094,1,,,239164.0,,,,0.0,239164.0,0.0,0.00133896499983166,0.0,full_experiment_seed0.csv,
X-n110-k13,X,110,1,14971.0,13,15523.0,3.6871284483334446,3.6871284483334446,3.6871284483334446,0.0,15523.0,0.0,1.090193046999957,9.0,full_experiment_seed0.csv,
X-n1141-k112,XL,1141,1,,,233978.0,,,,0.0,233978.0,0.0,0.001680350999777147,0.0,full_experiment_seed0.csv,
X-n115-k10,X,115,1,12747.0,10,13451.0,5.522868125833529,5.522868125833529,5.522868125833529,0.0,13451.0,0.0,1.0094905109999672,8.0,full_experiment_seed0.csv,
X-n1188-k96,XL,1188,1,,,256897.0,,,,0.0,256897.0,0.0,0.0014108940004007309,0.0,full_experiment_seed0.csv,
X-n120-k6,X,120,1,13332.0,6,14250.0,6.885688568856886,6.885688568856886,6.885688568856886,0.0,14250.0,0.0,1.0263357550002183,3.0,full_experiment_seed0.csv,
X-n1234-k55,XL,1234,1,,,455849.0,,,,0.0,455849.0,0.0,0.0012297170001147606,0.0,full_experiment_seed0.csv,
X-n125-k30,X,125,1,55539.0,30,57520.0,3.5668629251516952,3.5668629251516952,3.5668629251516952,0.0,57520.0,0.0,1.1153114369999457,7.0,full_experiment_seed0.csv,
X-n1281-k29,XL,1281,1,,,147457.0,,,,0.0,147457.0,0.0,0.001613805000033608,0.0,full_experiment_seed0.csv,
X-n129-k18,X,129,1,28940.0,18,30088.0,3.9668279198341394,3.9668279198341394,3.9668279198341394,0.0,30088.0,0.0,1.071998395999799,7.0,full_experiment_seed0.csv,
X-n1328-k19,XL,1328,1,,,279760.0,,,,0.0,279760.0,0.0,0.0014301300002443895,0.0,full_experiment_seed0.csv,
X-n134-k13,X,134,1,10916.0,13,11408.0,4.507145474532796,4.507145474532796,4.507145474532796,0.0,11408.0,0.0,1.0195411439999589,9.0,full_experiment_seed0.csv,
